[start] baseline spend $2.5010  cap=$19.90
[1/131] gen    aiime-bleeding-hollow  cost=$0.1400  total=$2.6410  cutout=FLAGGED
[2/131] gen    aime-bleeding-hollow  cost=$0.1400  total=$2.7810  cutout=ok
[3/131] gen    aimme-bleeding-hollow  cost=$0.1400  total=$2.9210  cutout=FLAGGED
[4/131] gen    amrevenge-stormrage  cost=$0.1400  total=$3.0610  cutout=ok
[5/131] gen    anbux-bleeding-hollow  cost=$0.1400  total=$3.2010  cutout=FLAGGED
[6/131] gen    arfas-queldorei  cost=$0.1400  total=$3.3410  cutout=ok
[7/131] gen    autable-gurubashi  cost=$0.1400  total=$3.4810  cutout=ok
[8/131] gen    azell-bleeding-hollow  cost=$0.1400  total=$3.6210  cutout=ok
[9/131] reused balcmeg-queldorei  cost=$0.0000  total=$3.6210  cutout=FLAGGED
[10/131] gen    beastfriend-thrall  cost=$0.1400  total=$3.7610  cutout=ok
[11/131] reused beroben-emerald-dream  cost=$0.0000  total=$3.7610  cutout=ok
[12/131] gen    beroben-queldorei  cost=$0.1400  total=$3.9010  cutout=FLAGGED
[13/131] gen    boondocka-hydraxis  cost=$0.1400  total=$4.0410  cutout=ok
[14/131] gen    botso-bleeding-hollow  cost=$0.1400  total=$4.1810  cutout=FLAGGED
[15/131] gen    breakdruid-area-52  cost=$0.1400  total=$4.3210  cutout=FLAGGED
[16/131] gen    brewzleeh-tichondrius  cost=$0.1400  total=$4.4610  cutout=ok
[17/131] gen    buchalter-area-52  cost=$0.1400  total=$4.6010  cutout=FLAGGED
[18/131] gen    bwonsombro-bleeding-hollow  cost=$0.1400  total=$4.7410  cutout=ok
[19/131] gen    chohno-stormrage  cost=$0.1400  total=$4.8810  cutout=ok
[20/131] gen    chokalock-sargeras  cost=$0.1400  total=$5.0210  cutout=ok
[21/131] gen    coned-azgalor  cost=$0.1400  total=$5.1610  cutout=ok
[22/131] gen    cptbenimaru-area-52  cost=$0.1400  total=$5.3010  cutout=ok
[23/131] gen    critorical-tichondrius  cost=$0.1400  total=$5.4410  cutout=ok
[24/131] gen    danethegreat-area-52  cost=$0.1400  total=$5.5810  cutout=ok
[25/131] gen    dathar-area-52  cost=$0.1400  total=$5.7210  cutout=FLAGGED
[26/131] gen    deckler-bleeding-hollow  cost=$0.1400  total=$5.8610  cutout=ok
[27/131] gen    delusionz-icecrown  cost=$0.1400  total=$6.0010  cutout=ok
[28/131] gen    dragoonx-bleeding-hollow  cost=$0.1400  total=$6.1410  cutout=FLAGGED
[29/131] gen    duskwolf-azuremyst  cost=$0.1400  total=$6.2810  cutout=ok
[30/131] gen    ellebasi-malganis  cost=$0.1400  total=$6.4210  cutout=ok
[31/131] gen    enyò-area-52  cost=$0.1400  total=$6.5610  cutout=ok
[32/131] gen    eponax-bleeding-hollow  cost=$0.1400  total=$6.7010  cutout=ok
[33/131] reused flemel-area-52  cost=$0.0000  total=$6.7010  cutout=FLAGGED
[34/131] gen    fleshripper-queldorei  cost=$0.1400  total=$6.8410  cutout=ok
[35/131] gen    flogeron-area-52  cost=$0.1400  total=$6.9810  cutout=ok
[36/131] reused floofwall-queldorei  cost=$0.0000  total=$6.9810  cutout=FLAGGED
[37/131] gen    fluffy-korgath  cost=$0.1400  total=$7.1210  cutout=FLAGGED
[38/131] gen    fugaku-icecrown  cost=$0.1400  total=$7.2610  cutout=ok
[39/131] gen    gandamar-azgalor  cost=$0.1400  total=$7.4010  cutout=ok
[40/131] gen    gener-dalaran  cost=$0.1400  total=$7.5410  cutout=ok
[41/131] gen    glinkz-wyrmrest-accord  cost=$0.1400  total=$7.6810  cutout=FLAGGED
[42/131] gen    gnomelyfans-queldorei  cost=$0.1400  total=$7.8210  cutout=ok
[43/131] gen    gregus-bleeding-hollow  cost=$0.1400  total=$7.9610  cutout=ok
[44/131] gen    grëywolf-eldrethalas  cost=$0.1400  total=$8.1010  cutout=FLAGGED
[45/131] gen    healmates-korgath  cost=$0.1400  total=$8.2410  cutout=ok
[46/131] reused healyeah-queldorei  cost=$0.0000  total=$8.2410  cutout=FLAGGED
[47/131] gen    hellful-lightnings-blade  cost=$0.1400  total=$8.3810  cutout=FLAGGED
[48/131] gen    heximal-hydraxis  cost=$0.1400  total=$8.5210  cutout=ok
[49/131] gen    holyx-bleeding-hollow  cost=$0.1400  total=$8.6610  cutout=FLAGGED
[50/131] gen    huntlowx-bleeding-hollow  cost=$0.1400  total=$8.8010  cutout=FLAGGED
[51/131] gen    iamdapopemon-area-52  cost=$0.1400  total=$8.9410  cutout=FLAGGED
[52/131] gen    icyx-bleeding-hollow  cost=$0.1400  total=$9.0810  cutout=ok
[53/131] gen    impkiller-tichondrius  cost=$0.1400  total=$9.2210  cutout=FLAGGED
[54/131] gen    imshaman-bleeding-hollow  cost=$0.1400  total=$9.3610  cutout=FLAGGED
[55/131] reused jilk-eldrethalas  cost=$0.0000  total=$9.3610  cutout=ok
[56/131] gen    jovala-stormrage  cost=$0.1400  total=$9.5010  cutout=ok
[57/131] gen    junzolo-thrall  cost=$0.1400  total=$9.6410  cutout=ok
[58/131] reused kathrobbin-zuljin  cost=$0.0000  total=$9.6410  cutout=ok
[59/131] gen    kegsmashroll-stormrage  cost=$0.1400  total=$9.7810  cutout=ok
[60/131] gen    kelova-stormrage  cost=$0.1400  total=$9.9210  cutout=ok
[61/131] gen    kibli-lightnings-blade  cost=$0.1400  total=$10.0610  cutout=ok
[62/131] gen    kirrá-aggramar  cost=$0.1400  total=$10.2010  cutout=ok
[63/131] gen    kitez-cenarion-circle  cost=$0.1400  total=$10.3410  cutout=ok
[64/131] gen    kreleran-bleeding-hollow  cost=$0.1400  total=$10.4810  cutout=FLAGGED
[65/131] gen    lebock-illidan  cost=$0.1400  total=$10.6210  cutout=ok
[66/131] gen    maillo-area-52  cost=$0.1400  total=$10.7610  cutout=ok
[67/131] gen    martylol-illidan  cost=$0.1400  total=$10.9010  cutout=FLAGGED
[68/131] gen    marvinah-queldorei  cost=$0.1400  total=$11.0410  cutout=ok
[69/131] gen    milkbreath-bleeding-hollow  cost=$0.1400  total=$11.1810  cutout=ok
[70/131] reused mushabi-anubarak  cost=$0.0000  total=$11.1810  cutout=FLAGGED
[71/131] gen    nivella-dawnbringer  cost=$0.1400  total=$11.3210  cutout=FLAGGED
[72/131] gen    nokori-proudmoore  cost=$0.1400  total=$11.4610  cutout=ok
[73/131] gen    nythrael-kargath  cost=$0.1400  total=$11.6010  cutout=ok
[74/131] gen    obstorm-earthen-ring  cost=$0.1400  total=$11.7410  cutout=ok
[75/131] gen    ohnomyais-area-52  cost=$0.1400  total=$11.8810  cutout=FLAGGED
